RegionName,SizeRank,2010-12,2011-04,2011-08,2011-12,2012-04,2012-08,2012-12,2013-04,2013-08,2013-12,2014-04,2014-08,2014-12,2015-04,2015-08,2015-12,2016-04,2016-08
California,1,1.609383524,1.45152929,1.380860806,1.359434475,1.332442068,1.293103448,1.305237316,1.304347826,1.314902225,1.300837321,1.294744859,1.419290524,1.422924901,1.504394861,1.559611672,1.594048884,1.663619377,1.664355062
Texas,2,0.77434555,0.763825237,0.753186559,0.746268657,0.78125,0.780346821,0.839807653,0.859220093,0.859314944,0.789473684,0.795104956,0.827734705,0.817686251,0.849858357,0.862175525,0.858034321,0.880469584,0.879196478
New York,3,,,,,,,,,,4.316628183,4.07239819,3.859649123,3.863636364,4.46333267,4.122011542,4.240438089,4.819277108,4
Florida,4,1.104938272,1.083188908,1.057401813,1.071428571,1.0859375,1.091570649,1.078926905,1.088270859,1.083333333,1.122348662,1.058286536,1.134328358,1.099505223,1.114864865,1.200809056,1.212686567,1.228070175,1.172893136
Illinois,5,1.221498371,1.34057971,1.350245499,1.245551601,1.215066829,1.366666667,1.512055743,1.459813113,1.384960317,1.2,1.151363134,1.224489796,1.204614117,1.25,1.25,1.228733459,1.302450117,1.285714286
Pennsylvania,6,0.921965557,0.935226879,0.910103495,0.904683584,0.957042406,0.941465863,0.909090909,0.983652632,0.968828981,0.917819825,0.930504115,0.968871124,0.931634556,1.006532067,0.998263889,0.960555573,1.016949153,0.998770453
Ohio,7,0.746681416,0.733506944,0.744625474,0.719184891,0.720618557,0.722891566,0.715746421,0.737847222,0.750750751,0.763888889,0.745016556,0.770611444,0.768466905,0.795943454,0.805132505,0.804242424,0.847868217,0.828382761
Michigan,8,0.86390611,0.8640553,0.869565217,0.794491525,0.820232399,0.819672131,0.808799741,0.82704176,0.85,0.849866609,0.84835631,0.86996337,0.863993093,0.888888889,0.900628983,0.901442308,0.917767988,0.92611336
Georgia,9,0.701004283,0.688559322,0.665383105,0.653594771,0.664893617,0.659413122,0.657894737,0.673316708,0.664922141,0.651400542,0.651090343,0.666666667,0.668774319,0.684931507,0.694444444,0.694444444,0.712250712,0.721450617
North Carolina,10,0.692293678,0.70719603,0.705582128,0.698529412,0.714285714,0.714924039,0.704225352,0.720164609,0.712927757,0.702272005,0.712830957,0.716619047,0.711526022,0.730846774,0.727848101,0.731578947,0.75698125,0.759762309
New Jersey,11,1.234519121,1.277777778,1.26984127,1.25588697,1.341201717,1.306095111,1.27189496,1.360103627,1.344530491,1.28058104,1.311647429,1.341954988,1.307189542,1.428571429,1.386404293,1.351351351,1.441441441,1.381801061
Virginia,12,0.97361809,0.965277778,0.970873786,0.943017657,0.963541667,0.97630719,0.993953565,1.016456922,1.008741765,1.006944444,0.99931082,1.037561733,1.004155125,1.041666667,1.052347633,1.026045777,1.055555556,1.08401084
Washington,13,0.972836775,0.929487179,0.93,0.905901551,0.932420765,0.928641251,0.963015572,0.985872103,0.965497064,0.92791557,0.9375,0.968387742,0.967333181,1.015733457,1.055618499,1.059535822,1.083916084,1.155527448
Massachusetts,14,,,1.712328767,1.458333333,1.935370366,1.740294511,1.815720824,2.241873244,2.193132763,2.136271644,2.181304371,2.416666667,2.234124512,2.597402597,2.504019054,2.303427606,2.638888889,2.5
