RegionID,RegionName,abbr,SizeRank,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
9,California,CA,1,157500,165000,179000,198700,230000,258600,303200,359000,452000,524100,521600,474400,366100,332500,323400,302400,325600,392700,426000,452600,472100
54,Texas,TX,2,,84400,87700,94200,97300,100300,105100,108400,119000,123800,130300,134000,128800,131100,123400,121100,123500,130500,139000,151200,160200
43,New York,NY,3,,,,,,,,,,,,330100,300500,268300,259800,249700,246600,250600,257000,262700,267600
14,Florida,FL,4,86900,90500,94400,100600,109600,120600,133900,150800,184500,242500,249100,217300,169200,146500,134500,126100,135500,153800,167200,181900,194200
21,Illinois,IL,5,114000,118400,121800,128800,137500,148500,158100,170400,181600,194800,202500,200600,187800,171400,157500,144600,141200,148000,153600,158200,164100
47,Pennsylvania,PA,6,83800,86100,88900,90900,95400,101400,109000,119600,130500,144300,151100,154000,152200,152000,148800,144000,143700,145600,148100,152100,155500
44,Ohio,OH,7,89700,94000,97300,102500,107900,111700,115400,120500,123800,126700,125900,122800,116200,113600,111100,107400,108400,111300,114800,119800,122900
30,Michigan,MI,8,87700,93100,100000,111600,119700,126500,131900,136400,140500,142700,138200,128900,109900,101900,95000,89800,94900,106400,115300,121200,126800
16,Georgia,GA,9,94000,99500,106500,114800,123700,129600,134700,139500,144800,152400,156800,155800,143000,135800,125900,116400,117700,125800,134700,142900,149900
36,North Carolina,NC,10,93700,101200,108400,113100,118500,121100,124300,127200,132300,140200,146500,151300,148600,145200,141500,137600,138500,141500,144000,149300,154800
40,New Jersey,NJ,11,139100,142900,148900,161700,179200,202600,238900,274100,316700,358500,364700,351500,320800,301900,288400,268800,266800,274400,281400,288800,294100
56,Virginia,VA,12,113300,115800,119000,125100,133700,145300,159700,179300,218100,259600,266400,260200,234400,221300,215100,209300,212900,222200,228000,232400,236700
59,Washington,WA,13,136800,145900,154600,163500,171800,180200,188700,200600,225300,267400,297700,299200,274400,252200,235400,220100,226300,246200,261400,283900,308000
26,Massachusetts,MA,14,140600,149000,162100,183600,216500,251000,286000,313200,343400,357200,339800,326800,300700,295300,294500,287000,290800,313000,326400,341800,354000
22,Indiana,IN,15,75700,83000,85600,88000,92600,102200,101400,106600,115600,119500,117900,116900,114900,110900,111600,107700,109300,111600,114600,117300,117000
8,Arizona,AZ,16,105700,110400,116200,122000,130500,135600,144100,154100,182400,254800,256300,234500,194300,165000,146200,135400,156700,179500,187900,201300,211600
53,Tennessee,TN,17,72700,77800,83100,85500,88900,91400,94300,98500,103400,112100,118700,120900,117900,119400,119000,117000,118100,121200,124700,131000,136200
32,Missouri,MO,18,84200,91700,96100,103800,113600,121000,127800,137700,140300,146800,151700,148500,145600,140700,131600,124400,123000,125300,127600,131500,136900
27,Maryland,MD,19,126400,127200,129900,135400,143500,156400,177200,204800,251700,307100,322600,310200,274000,252000,240700,225900,230800,241500,251400,255000,262200
60,Wisconsin,WI,20,,102700,107600,113400,120200,126200,133100,140500,147000,155500,157100,157900,154500,154900,150700,144000,142300,144900,148800,153100,159500
