STATE,NAME,abbr,POPESTIMATE1996,POPESTIMATE1997,POPESTIMATE1998,POPESTIMATE1999,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
1,Alabama,AL,"4,290,403","4,320,281","4,351,037","4,369,862","4,452,173","4,467,634","4,480,089","4,503,491","4,530,729","4,569,805","4,628,981","4,672,840","4,718,206","4,757,938","4,785,161","4,801,108","4,816,089","4,830,533","4,846,411","4,858,979","4,871,547"
2,Alaska,AK,"604,918","608,846","615,205","619,500","627,963","633,714","642,337","648,414","659,286","666,946","675,302","680,300","687,455","698,895","714,021","722,720","731,228","737,442","737,046","738,432","739,818"
4,Arizona,AR,"4,432,308","4,552,207","4,667,277","4,778,332","5,160,586","5,273,477","5,396,255","5,510,364","5,652,404","5,839,077","6,029,141","6,167,681","6,280,362","6,343,154","6,408,208","6,468,732","6,553,262","6,630,799","6,728,783","6,828,065","6,927,347"
5,Arkansas,AZ,"2,504,858","2,524,007","2,538,202","2,551,373","2,678,588","2,691,571","2,705,927","2,724,816","2,749,686","2,781,097","2,821,761","2,848,650","2,874,554","2,896,843","2,922,394","2,938,538","2,949,499","2,957,957","2,966,835","2,978,204","2,989,573"
6,California,CA,"31,780,829","32,217,708","32,682,794","33,145,121","33,987,977","34,479,458","34,871,843","35,253,159","35,574,576","35,827,943","36,021,202","36,250,311","36,604,337","36,961,229","37,334,079","37,700,034","38,056,055","38,414,128","38,792,291","39,144,818","39,497,345"
8,Colorado,CO,"3,812,716","3,891,293","3,968,967","4,056,133","4,326,921","4,425,687","4,490,406","4,528,732","4,575,013","4,631,888","4,720,423","4,803,868","4,889,730","4,972,195","5,048,254","5,119,480","5,191,731","5,271,132","5,355,588","5,456,574","5,557,560"
9,Connecticut,CT,"3,267,030","3,268,514","3,272,563","3,282,031","3,411,777","3,432,835","3,458,749","3,484,336","3,496,094","3,506,956","3,517,460","3,527,270","3,545,579","3,561,807","3,579,717","3,589,759","3,593,541","3,597,168","3,594,762","3,590,886","3,587,010"
10,Delaware,DE,"727,090","735,024","744,066","753,538","786,373","795,699","806,169","818,003","830,803","845,150","859,268","871,749","883,874","891,730","899,791","907,916","917,099","925,353","935,968","945,934","955,900"
11,District of Columbia,DC,"538,273","528,752","521,426","519,000","572,046","574,504","573,158","568,502","567,754","567,136","570,681","574,404","580,236","592,228","605,126","620,472","635,342","649,540","659,836","672,228","684,620"
12,Florida,FL,"14,426,911","14,683,350","14,908,230","15,111,244","16,047,515","16,356,966","16,689,370","17,004,085","17,415,318","17,842,038","18,166,990","18,367,842","18,527,305","18,652,644","18,849,890","19,105,533","19,352,021","19,594,467","19,905,569","20,271,272","20,636,975"
